AircraftName,VariantName,Range
Falcon Fury,B-87,6859.65
Falcon Fury,Mk.I-39,2446.34
Glacier Glide,Neo-48,2337.07
Glacier Glide,Max-1,3462.47
Glacier Glide,Mk.I-55,4883.4
Glacier Glide,Mk.I-24,4662.92
Mystic Dragon,B-51,5620.74
Mystic Dragon,Max-32,2019.23
Mystic Dragon,Max-80,5681.87
Mystic Dragon,A-60,1272.58
Orion Nebula,100-35,2747.47
Orion Nebula,Mk.I-67,2032.97
Orion Nebula,200-72,1752.14
Orion Nebula,100-61,7434.73
Nova Streak,100-77,5313.64
Nova Streak,Neo-89,4466.36
Nova Streak,Neo-49,4143.65
Nova Streak,Mk.I-62,2717.48
Phantom Hawk,Max-76,1465.87
Phantom Hawk,100-61,6404.1
Phantom Hawk,Mk.I-46,7612.64
Phantom Hawk,A-28,3072.99
Spectral Falcon,Max-17,3468.88
Spectral Falcon,B-39,7126.56
Spectral Falcon,A-5,2930.92
Spectral Falcon,Mk.I-76,7013.69
Radiant Rocket,Neo-69,2279.59
Radiant Rocket,100-80,1788.83
Radiant Rocket,Max-6,5992.25
Radiant Rocket,ER-64,1060.9
Titan Aero,A-81,6908.2
Titan Aero,Mk.I-80,667.05
Titan Aero,Max-33,3663.9
Titan Aero,100-14,7766.59
Aurora Crest,B-46,4700.69
Aurora Crest,LR-32,5843.68
Aurora Crest,B-2,1858.49
Aurora Crest,B-13,5472.71
Cyclone Storm,Neo-83,4190.18
Cyclone Storm,B-45,7104.99
Cyclone Storm,LR-44,4085.9
Cyclone Storm,100-20,4502.03
Nova Prime,200-25,1317.37
Nova Prime,ER-39,2536.62
Nova Prime,100-90,5713.91
Nova Prime,Max-40,2812.46
Zenith Zephyr,A-65,2858.01
Zenith Zephyr,100-36,1342.56
Zenith Zephyr,100-34,2231.92
Zenith Zephyr,200-17,4773.02
Airbus A350,100-31,4653.17
Airbus A350,Neo-89,7646.3
Airbus A350,B-65,6388.69
Airbus A350,LR-10,7666.24
Lockheed Martin C-130J,200-27,4516.39
Lockheed Martin C-130J,ER-48,1731.01
Lockheed Martin C-130J,ER-5,4516.2
Lockheed Martin C-130J,200-99,3554.59
Focke-Wulf 190,B-87,5972.78
Focke-Wulf 190,200-15,6966.73
Focke-Wulf 190,B-96,1137.6
Focke-Wulf 190,Neo-7,1640.68
Supermarine Spitfire MkIX,LR-55,7001.73
Supermarine Spitfire MkIX,ER-40,6303.2
Supermarine Spitfire MkIX,LR-79,6350.13
Supermarine Spitfire MkIX,200-97,4303.43
Cessna 182 Skylane,ER-35,3333.76
Cessna 182 Skylane,200-10,4505.11
Cessna 182 Skylane,B-90,6766.11
Cessna 182 Skylane,LR-3,2436.59
Bell 430 Helicopter,ER-3,3832.87
Bell 430 Helicopter,Mk.I-76,845.28
Bell 430 Helicopter,100-74,4516.64
Bell 430 Helicopter,B-34,2150.67
Antonov An-2,ER-50,7351.97
Antonov An-2,LR-7,3810.22
Antonov An-2,ER-67,5918.22
Antonov An-2,100-30,1117.78
Robinson R44 Helicopter,LR-60,6215.22
Robinson R44 Helicopter,A-92,2865.4
Robinson R44 Helicopter,ER-17,6848.29
Robinson R44 Helicopter,B-94,648.08
Airbus A321neo,200-92,7848.46
Airbus A321neo,100-66,3306.78
Airbus A321neo,Mk.I-46,4403.74
Airbus A321neo,Max-18,6003.77
Boeing 737 MAX 8,ER-1,7616.83
Boeing 737 MAX 8,B-23,2486.93
Boeing 737 MAX 8,LR-20,4888.63
Boeing 737 MAX 8,A-26,7851.58
Siemens SG 360 Glider,ER-28,5085.7
Siemens SG 360 Glider,100-28,940.57
Siemens SG 360 Glider,LR-64,7872.29
Siemens SG 360 Glider,LR-43,7244.15
Northrop Grumman B-21 Raider,Neo-28,4441.89
Northrop Grumman B-21 Raider,Neo-61,4003.51
Northrop Grumman B-21 Raider,ER-37,5139.72
Northrop Grumman B-21 Raider,A-27,5140.75
Kawasaki P-1,ER-6,6423.83
Kawasaki P-1,Mk.I-80,2213.86
Kawasaki P-1,Mk.I-3,1830.52
Kawasaki P-1,LR-27,4335.46
Chili Air X-1,A-87,4884.47
Chili Air X-1,100-17,3332.12
Chili Air X-1,B-68,1856.76
Chili Air X-1,A-43,3655.12
AeroVironment RQ-20 Puma,A-30,4127.83
AeroVironment RQ-20 Puma,100-79,3533.04
AeroVironment RQ-20 Puma,200-90,2390.89
AeroVironment RQ-20 Puma,Max-57,831.14
Palusami 500,ER-66,7561.85
Palusami 500,Mk.I-5,6981.86
Palusami 500,100-46,1385.24
Palusami 500,LR-40,7454.8
AeroLuxe Zephyr,A-47,4302.69
AeroLuxe Zephyr,200-24,7176.43
AeroLuxe Zephyr,100-34,4094.32
AeroLuxe Zephyr,Max-87,2940.89
Orion 7 Skyfactor,100-67,753.48
Orion 7 Skyfactor,Neo-5,7519.11
Orion 7 Skyfactor,A-4,2504.42
Orion 7 Skyfactor,100-72,4092.65
SkyRanger XL,A-48,5130.1
SkyRanger XL,A-12,7209.35
SkyRanger XL,100-21,2265.53
SkyRanger XL,ER-16,1902.33
Nimbus One,Neo-91,6513.38
Nimbus One,Max-35,7725.01
Nimbus One,ER-31,6521.22
Nimbus One,ER-44,4739.65
AeroZenith Aurora,100-50,1717.91
AeroZenith Aurora,100-31,941.62
AeroZenith Aurora,Mk.I-27,7692.21
AeroZenith Aurora,Mk.I-46,1812.75
Skyward 400,200-10,1742.25
Skyward 400,A-5,1732.84
Skyward 400,Mk.I-27,5964.21
Skyward 400,200-15,6393.55
Apex X7,Max-7,5770.95
Apex X7,A-63,7233.54
Apex X7,LR-24,1861.46
Apex X7,A-52,2805.71
Velocity V5,Mk.I-51,2219.76
Velocity V5,Max-63,5448.73
Velocity V5,LR-96,1181.71
Velocity V5,100-96,5171.49
Orion Aero VX-1,Max-57,2311.86
Orion Aero VX-1,100-61,1172.0
Orion Aero VX-1,ER-83,3474.61
Orion Aero VX-1,Neo-16,1817.25
Falcon 7X,LR-60,5138.12
Falcon 7X,LR-7,2210.92
Falcon 7X,Mk.I-62,5354.94
Falcon 7X,Neo-77,7053.47
Mirage 2000D,Neo-15,7903.8
Mirage 2000D,Mk.I-89,7667.79
Mirage 2000D,ER-65,4095.2
Mirage 2000D,Neo-1,3451.67
Carolina Skimmer,Neo-88,5158.48
Carolina Skimmer,B-23,2431.5
Carolina Skimmer,100-49,2121.73
Carolina Skimmer,A-18,748.69
Pacifica Air Yacht,100-14,3566.39
Pacifica Air Yacht,100-65,6898.43
Pacifica Air Yacht,200-93,7729.15
Pacifica Air Yacht,100-26,2902.18
Helios 500,Max-3,5916.11
Helios 500,LR-17,2607.36
Helios 500,200-41,6346.81
Helios 500,ER-47,861.54
Falcon 900E,Max-42,7182.28
Falcon 900E,Max-52,5361.15
Falcon 900E,B-57,5621.02
Falcon 900E,A-66,3417.51
Aurora Starfighter,B-4,7416.03
Aurora Starfighter,B-96,4954.86
Aurora Starfighter,100-85,3925.31
Aurora Starfighter,LR-40,3473.95
Nightingale N-1,200-37,674.83
Nightingale N-1,ER-62,7759.06
Nightingale N-1,Mk.I-99,3042.46
Nightingale N-1,100-34,1657.92
Zenith ZX-12,200-83,847.36
Zenith ZX-12,200-28,4236.28
Zenith ZX-12,Neo-56,4872.09
Zenith ZX-12,200-43,6748.06
Quicksilver Q-200,B-85,1121.67
Quicksilver Q-200,100-18,2811.94
Quicksilver Q-200,ER-6,4494.48
Quicksilver Q-200,A-23,1837.24
Scimitar S-50,Max-76,5234.82
Scimitar S-50,200-63,7444.75
Scimitar S-50,LR-55,3284.93
Scimitar S-50,ER-72,1105.83
Talon T-45,200-79,1469.48
Talon T-45,A-65,4070.47
Talon T-45,200-48,1466.49
Talon T-45,100-58,586.68
Blackbird 9,100-27,2206.54
Blackbird 9,200-69,2062.52
Blackbird 9,100-80,4214.17
Blackbird 9,ER-67,6694.88
Argus 300,A-61,2220.42
Argus 300,LR-38,3641.13
Argus 300,LR-24,3750.6
Argus 300,A-92,3479.98
Skyfox 12,ER-48,711.15
Skyfox 12,LR-7,5869.8
Skyfox 12,200-28,817.08
Skyfox 12,Max-1,4019.53
Helix 210,Max-26,1317.05
Helix 210,A-10,4413.1
Helix 210,LR-10,4464.78
Helix 210,200-38,4918.42
Vortice V-5,A-18,4719.64
Vortice V-5,ER-16,4590.72
Vortice V-5,Neo-85,3402.86
Vortice V-5,Mk.I-72,7103.08
Strato Cruiser 8,100-57,5945.03
Strato Cruiser 8,Neo-33,3120.69
Strato Cruiser 8,Max-65,3950.78
Strato Cruiser 8,Max-13,7318.44
Cyclone 7,Mk.I-51,2452.37
Cyclone 7,Neo-89,3574.83
Cyclone 7,B-88,6069.75
Cyclone 7,LR-99,4757.09
Tempest T-8,100-20,5769.88
Tempest T-8,Neo-2,4627.09
Tempest T-8,200-53,7710.8
Tempest T-8,Neo-68,5487.07
Aurorae 300,Neo-93,4188.22
Aurorae 300,ER-80,5209.49
Aurorae 300,Max-62,1106.8
Aurorae 300,Max-57,2801.33
Nyx 50,B-57,7879.09
Nyx 50,A-95,7102.8
Nyx 50,B-3,4637.47
Nyx 50,A-81,6422.09
Zephyrus Z-200,Mk.I-94,2361.45
Zephyrus Z-200,LR-68,3107.7
Zephyrus Z-200,200-39,3185.71
Zephyrus Z-200,Max-56,7125.06
Photon P-88,100-90,5982.28
Photon P-88,200-62,7913.84
Photon P-88,Max-6,4400.56
Photon P-88,A-49,1829.92
Gryphon G-45,Mk.I-46,2600.5
Gryphon G-45,LR-8,1393.66
Gryphon G-45,200-34,6988.81
Gryphon G-45,Mk.I-55,1307.4
Viper VX-9,200-96,5613.98
Viper VX-9,Neo-95,4862.82
Viper VX-9,B-98,4334.69
Viper VX-9,Neo-61,2093.31
Falcon F-160,100-20,5008.9
Falcon F-160,Max-31,1829.76
Falcon F-160,Max-52,1156.74
Falcon F-160,B-36,2372.87
Skyblade S-7,200-77,4346.34
Skyblade S-7,Neo-52,6863.16
Skyblade S-7,Neo-30,6783.67
Skyblade S-7,200-69,3926.07
Aurorae II,200-68,6469.48
Aurorae II,Neo-95,2994.02
Aurorae II,Max-37,4960.95
Aurorae II,Mk.I-11,3273.36
Nebula N-9,100-4,2571.8
Nebula N-9,ER-96,4043.69
Nebula N-9,LR-57,6069.29
Nebula N-9,Neo-66,532.11
Talon 300,ER-51,3857.6
Talon 300,B-95,5839.62
Talon 300,Max-18,7851.21
Talon 300,B-98,1218.23
Aurora V2,Max-93,6532.26
Aurora V2,Mk.I-24,7499.35
Aurora V2,LR-93,616.39
Aurora V2,100-86,2884.49
AeroJet AJ-10,100-90,2901.02
AeroJet AJ-10,Neo-89,4093.07
AeroJet AJ-10,LR-27,6882.78
AeroJet AJ-10,B-95,4845.02
Stormchaser ST-21,B-26,1231.48
Stormchaser ST-21,A-19,1552.65
Stormchaser ST-21,Max-26,2804.05
Stormchaser ST-21,Neo-77,1777.5
Eclipse E-30,A-49,6108.23
Eclipse E-30,A-63,1985.68
Eclipse E-30,Mk.I-88,7748.15
Eclipse E-30,ER-44,745.59
Mantis M-55,B-89,2776.15
Mantis M-55,100-95,5894.14
Mantis M-55,Mk.I-78,2042.81
Mantis M-55,100-84,5115.73
Orionis O-77,100-54,6513.05
Orionis O-77,Max-50,7748.49
Orionis O-77,A-60,2479.32
Orionis O-77,A-25,5500.08
AeroPulse AP-12,ER-35,1303.39
AeroPulse AP-12,200-71,6769.67
AeroPulse AP-12,LR-11,4679.88
AeroPulse AP-12,A-66,5980.06
Chronos C-6,B-80,4121.35
Chronos C-6,Max-32,4790.02
Chronos C-6,Mk.I-3,2523.44
Chronos C-6,A-86,4651.64
Heliox HX-9,200-96,5602.65
Heliox HX-9,Mk.I-72,6177.3
Heliox HX-9,100-42,4464.71
Heliox HX-9,100-76,1512.22
Quanta Q-44,200-83,6930.33
Quanta Q-44,Max-55,6843.14
Quanta Q-44,Neo-77,6518.57
Quanta Q-44,Neo-47,5551.74
Pinnacle PN-88,ER-77,1563.61
Pinnacle PN-88,B-31,6330.9
Pinnacle PN-88,Mk.I-89,2278.46
Pinnacle PN-88,B-42,6773.59
Radiance R-22,B-24,3517.16
Radiance R-22,100-53,7004.33
Radiance R-22,200-41,7800.56
Radiance R-22,A-59,7307.53
Titan T-300,A-49,3101.62
Titan T-300,Max-62,6366.02
Titan T-300,ER-51,1687.08
Titan T-300,Neo-52,537.16
Vanguard V-15,100-5,6258.31
Vanguard V-15,Max-32,640.28
Vanguard V-15,A-35,5463.12
Vanguard V-15,100-76,3679.92
Wyvern W-45,LR-38,6735.6
Wyvern W-45,ER-67,6161.46
Wyvern W-45,B-31,4433.67
Wyvern W-45,ER-44,5364.73
Zefyr Z-70,100-85,2993.64
Zefyr Z-70,A-86,2718.13
Zefyr Z-70,LR-28,3775.02
Zefyr Z-70,A-87,846.44
Nova N-5,Neo-77,2125.19
Nova N-5,ER-37,2594.17
Nova N-5,200-32,7349.69
Nova N-5,A-50,1279.73
Zeppelin Z-100,Mk.I-4,2644.23
Zeppelin Z-100,200-57,7251.19
Zeppelin Z-100,B-81,4922.14
Zeppelin Z-100,Max-42,683.21
AeroLynx AL-12,Max-26,2876.37
AeroLynx AL-12,LR-83,2220.35
AeroLynx AL-12,A-65,3074.1
AeroLynx AL-12,Mk.I-33,4304.31
Spectra S-9,200-11,1176.26
Spectra S-9,B-56,7460.09
Spectra S-9,LR-93,7479.83
Spectra S-9,100-98,6634.68
Artemis A-88,100-65,7054.87
Artemis A-88,ER-60,966.49
Artemis A-88,Neo-36,6735.04
Artemis A-88,200-15,875.82
Cyclone CX-3,ER-65,2564.92
Cyclone CX-3,Neo-7,5789.26
Cyclone CX-3,Mk.I-9,580.95
Cyclone CX-3,ER-72,673.25
Helixion H-55,Max-51,1420.83
Helixion H-55,Mk.I-72,4861.95
Helixion H-55,A-36,3381.48
Helixion H-55,A-9,4149.35
Javelin J-77,Mk.I-33,4216.39
Javelin J-77,200-99,5601.71
Javelin J-77,200-77,2346.32
Javelin J-77,ER-32,2785.84
Kestrel K-15,Max-33,5043.29
Kestrel K-15,B-77,621.39
Kestrel K-15,100-79,3402.69
Kestrel K-15,ER-62,827.99
Lumen L-44,100-10,5688.64
Lumen L-44,100-52,6733.51
Lumen L-44,100-76,6048.0
Lumen L-44,A-40,3053.27
Meteor M-99,Neo-43,7843.84
Meteor M-99,200-96,4170.89
Meteor M-99,B-19,5677.69
Meteor M-99,A-23,2593.86
Orionid O-200,Max-32,2906.11
Orionid O-200,A-52,2406.79
Orionid O-200,Max-17,1562.52
Orionid O-200,Mk.I-67,2683.53
AeroX-101,Neo-64,6935.84
AeroX-101,Neo-70,7797.33
AeroX-101,ER-72,1840.66
AeroX-101,Neo-95,5625.05
SkyRider 500,Mk.I-86,2310.6
SkyRider 500,Max-44,7727.77
SkyRider 500,100-13,7245.11
SkyRider 500,A-12,4095.35
Thunderbolt 7,200-71,2706.46
Thunderbolt 7,A-44,5010.06
Thunderbolt 7,100-88,4218.61
Thunderbolt 7,Neo-64,2511.95
Orion-3,A-9,6925.84
Orion-3,ER-54,3004.03
Orion-3,ER-5,5181.42
Orion-3,B-21,7905.77
Nebula 9,Neo-3,3078.16
Nebula 9,100-88,4520.25
Nebula 9,ER-19,4385.3
Nebula 9,100-23,4766.9
FalconMark IV,200-11,1443.68
FalconMark IV,B-40,6015.48
FalconMark IV,200-64,6290.24
FalconMark IV,Max-21,2858.58
Phoenix-2,Neo-2,1049.82
Phoenix-2,Max-63,2559.51
Phoenix-2,LR-78,1684.16
Phoenix-2,A-6,3469.57
AuroraLine,B-95,5089.77
AuroraLine,ER-76,2423.97
AuroraLine,100-85,5277.33
AuroraLine,Max-59,7342.21
Talon-X,Max-14,6239.34
Talon-X,Max-25,1855.07
Talon-X,Mk.I-57,7831.57
Talon-X,LR-11,6192.76
Vortex-12,Mk.I-53,4896.25
Vortex-12,100-28,2467.88
Vortex-12,100-95,5159.7
Vortex-12,A-70,5670.95
Cyclone Mk II,200-96,4854.08
Cyclone Mk II,Mk.I-97,5365.83
Cyclone Mk II,100-31,4764.6
Cyclone Mk II,Max-10,5183.34
Zephyr-8,LR-44,2689.23
Zephyr-8,LR-74,2509.14
Zephyr-8,ER-65,4398.42
Zephyr-8,A-50,3213.69
Guardian-6,100-8,1280.12
Guardian-6,LR-84,3727.43
Guardian-6,Max-93,3453.76
Guardian-6,Max-87,2804.61
Raptor-5,Neo-57,2598.33
Raptor-5,Max-61,1750.09
Raptor-5,200-99,7036.26
Raptor-5,100-41,2864.61
Strato-4,Max-7,1430.89
Strato-4,200-48,4292.05
Strato-4,LR-95,3752.58
Strato-4,Neo-83,7014.12
Eclipse-9,ER-43,6189.09
Eclipse-9,B-90,7075.88
Eclipse-9,Neo-28,5998.96
Eclipse-9,Mk.I-46,3502.33
Cosmos-7,200-5,3143.04
Cosmos-7,Mk.I-96,7999.95
Cosmos-7,200-81,5919.42
Cosmos-7,Max-42,3207.65
Horizon-3,Mk.I-5,520.1
Horizon-3,LR-3,6202.77
Horizon-3,Max-64,5841.24
Horizon-3,Mk.I-43,7388.62
Pulse-11,LR-54,7889.53
Pulse-11,200-42,4853.23
Pulse-11,Max-64,6421.23
Pulse-11,B-31,6187.97
AeroDream 200,Max-17,6664.46
AeroDream 200,LR-28,1750.62
AeroDream 200,A-57,6079.25
AeroDream 200,Max-11,5137.76
Jetstreamer X1,Neo-96,5651.96
Jetstreamer X1,200-8,2587.92
Jetstreamer X1,100-4,1992.79
Jetstreamer X1,B-5,5066.17
Mach-5 Vanguard,100-86,3861.64
Mach-5 Vanguard,ER-97,4873.57
Mach-5 Vanguard,Max-55,7172.64
Mach-5 Vanguard,200-70,3175.82
AeroGlide 300,A-56,4361.57
AeroGlide 300,100-72,6472.25
AeroGlide 300,Max-42,4116.73
AeroGlide 300,Max-3,6464.0
SkyHawk 210,100-23,5366.42
SkyHawk 210,A-61,5360.63
SkyHawk 210,100-77,7171.52
SkyHawk 210,B-42,4464.39
ThunderStrike 6,200-45,2932.77
ThunderStrike 6,200-8,3004.2
ThunderStrike 6,A-59,5813.51
ThunderStrike 6,B-51,2431.53
Orion-1,A-5,4793.72
Orion-1,LR-11,2475.98
Orion-1,100-42,1278.8
Orion-1,LR-23,713.55
Nebula-4,Mk.I-5,3527.17
Nebula-4,B-92,5544.62
Nebula-4,B-85,5054.77
Nebula-4,B-60,1390.8
Cyclone-9,LR-83,1098.89
Cyclone-9,A-41,2800.26
Cyclone-9,ER-77,3499.07
Cyclone-9,200-92,2746.95
Zephyr-3,LR-93,2545.26
Zephyr-3,Max-74,2629.56
Zephyr-3,100-84,2508.99
Zephyr-3,100-96,727.6
Vortex-5,B-77,2389.22
Vortex-5,Max-93,3543.53
Vortex-5,Mk.I-89,2858.72
Vortex-5,200-30,7139.85
Talon-7,Neo-10,5382.65
Talon-7,B-24,3227.28
Talon-7,A-33,5099.06
Talon-7,Mk.I-27,1463.7
Guardian-2,200-1,1850.65
Guardian-2,100-29,4098.73
Guardian-2,ER-31,737.03
Guardian-2,LR-83,3760.84
Raptor-8,Neo-46,3003.63
Raptor-8,Mk.I-3,1380.47
Raptor-8,B-13,4179.13
Raptor-8,100-91,3246.71
Strato-5,Neo-5,4283.61
Strato-5,200-23,652.18
Strato-5,Max-17,3171.36
Strato-5,LR-99,5578.86
Eclipse-1,ER-75,6963.66
Eclipse-1,B-36,5391.97
Eclipse-1,Neo-13,7151.33
Eclipse-1,LR-61,7872.54
Cosmos-2,B-55,4998.25
Cosmos-2,200-37,2407.7
Cosmos-2,B-89,6772.14
Cosmos-2,Max-21,6090.13
Horizon-5,Max-61,5305.65
Horizon-5,200-76,4994.57
Horizon-5,ER-6,1752.43
Horizon-5,200-15,1079.07
Pulse-8,ER-7,5947.01
Pulse-8,ER-89,1102.45
Pulse-8,Mk.I-8,1112.29
Pulse-8,Mk.I-43,1194.69
AeroMaverick 150,Neo-1,4449.81
AeroMaverick 150,200-68,7123.54
AeroMaverick 150,Neo-18,1531.05
AeroMaverick 150,ER-54,5332.74
JetFury 250,LR-54,7439.43
JetFury 250,A-26,1813.09
JetFury 250,ER-65,5535.43
JetFury 250,A-70,6530.84
Mach-X 9,LR-43,6145.13
Mach-X 9,LR-74,7696.55
Mach-X 9,Neo-68,7692.4
Mach-X 9,Mk.I-98,2133.25
AeroZenith 400,Mk.I-33,4241.8
AeroZenith 400,Max-94,3344.07
AeroZenith 400,ER-31,7659.24
AeroZenith 400,ER-13,3440.68
SkyPulse 125,A-28,1452.86
SkyPulse 125,B-94,2071.45
SkyPulse 125,ER-88,4981.28
SkyPulse 125,100-15,6693.89
ThunderRush 7,LR-99,3933.59
ThunderRush 7,Mk.I-9,5533.28
ThunderRush 7,LR-83,2421.21
ThunderRush 7,ER-28,7813.16
Orion-4,ER-60,5949.33
Orion-4,200-59,3608.15
Orion-4,LR-32,2441.05
Orion-4,200-30,3871.02
Nebula-6,A-56,678.41
Nebula-6,Mk.I-43,685.96
Nebula-6,200-66,660.47
Nebula-6,Max-67,2842.84
Cyclone-3,Mk.I-98,1234.14
Cyclone-3,ER-74,4924.06
Cyclone-3,ER-20,4746.75
Cyclone-3,200-76,1308.98
Zephyr-9,ER-99,5075.81
Zephyr-9,100-14,7733.14
Zephyr-9,Max-15,2738.37
Zephyr-9,Max-7,3355.87
Vortex-2,A-77,7147.12
Vortex-2,B-45,6415.19
Vortex-2,Mk.I-60,3700.44
Vortex-2,Neo-49,3556.44
Talon-4,Neo-47,4549.52
Talon-4,LR-58,4285.37
Talon-4,Neo-80,2487.54
Talon-4,100-5,6258.5
Guardian-7,Neo-52,6220.6
Guardian-7,A-40,1746.41
Guardian-7,A-70,962.14
Guardian-7,B-57,2404.54
Raptor-3,100-15,5555.03
Raptor-3,ER-37,7056.01
Raptor-3,LR-74,4320.81
Raptor-3,B-94,7720.7
Strato-2,Mk.I-92,2959.89
Strato-2,B-44,1184.78
Strato-2,A-40,2835.03
Strato-2,200-66,7710.28
Eclipse-5,Max-92,4500.25
Eclipse-5,Neo-35,501.46
Eclipse-5,Mk.I-94,553.47
Eclipse-5,ER-52,3141.07
Cosmos-8,200-47,7974.17
Cosmos-8,ER-51,5053.83
Cosmos-8,200-92,5631.13
Cosmos-8,LR-14,7580.38
Horizon-1,Mk.I-88,7900.86
Horizon-1,Neo-36,4717.97
Horizon-1,Mk.I-33,4092.67
Horizon-1,ER-64,2337.66
Pulse-6,B-65,3383.57
Pulse-6,A-5,6274.95
Pulse-6,Neo-36,3923.0
Pulse-6,LR-11,6700.98
AeroStrider 220,Neo-70,2730.54
AeroStrider 220,Max-32,5315.17
AeroStrider 220,Max-63,7986.66
AeroStrider 220,B-36,2238.65
JetCrest 300,LR-91,7048.29
JetCrest 300,100-8,1820.64
JetCrest 300,100-20,3088.18
JetCrest 300,B-89,7979.4
Mach-7 Apex,Neo-28,5035.75
Mach-7 Apex,A-52,2653.61
Mach-7 Apex,LR-99,2351.48
Mach-7 Apex,200-41,6143.38
AeroFusion 180,100-23,1230.62
AeroFusion 180,ER-83,5142.78
AeroFusion 180,Max-92,7937.41
AeroFusion 180,Max-52,2035.97
SkyGlider 190,A-66,2804.18
SkyGlider 190,Max-93,6533.57
SkyGlider 190,Max-94,3842.17
SkyGlider 190,A-54,1945.97
Thunderbolt-8,Neo-43,4603.96
Thunderbolt-8,B-90,3810.22
Thunderbolt-8,100-21,2323.78
Orion-9,B-13,6047.15
Orion-9,ER-42,1555.08
Orion-9,A-23,6799.31
Orion-9,B-5,2387.36
Nebula-2,Mk.I-5,2140.5
Nebula-2,LR-45,4716.46
Nebula-2,ER-50,7026.96
Nebula-2,A-36,2076.29
Cyclone-5,A-30,4932.49
Cyclone-5,ER-76,6571.14
Cyclone-5,Max-55,7828.1
Cyclone-5,A-52,5996.22
Zephyr-1,ER-66,1540.68
Zephyr-1,LR-35,3993.17
Zephyr-1,200-81,1866.58
Zephyr-1,LR-87,900.26
Vortex-4,200-45,6236.0
Vortex-4,A-33,5566.59
Vortex-4,LR-7,5375.85
Vortex-4,200-47,1602.39
Talon-9,Max-7,4949.28
Talon-9,B-45,5078.04
Talon-9,Neo-97,7122.94
Talon-9,200-39,5950.38
Guardian-3,100-39,4991.88
Guardian-3,A-92,3626.95
Guardian-3,B-6,1667.14
Guardian-3,ER-75,1717.66
Raptor-6,200-14,5636.18
Raptor-6,100-98,6368.22
Raptor-6,ER-86,786.74
Raptor-6,Max-76,7456.79
Strato-7,A-25,6768.5
Strato-7,LR-27,1642.06
Strato-7,200-28,6089.51
Strato-7,200-93,1963.08
Eclipse-3,200-77,4527.55
Eclipse-3,ER-96,7271.53
Eclipse-3,Max-17,6794.02
Eclipse-3,LR-84,7610.83
Cosmos-5,Neo-93,7814.15
Cosmos-5,Max-15,6071.61
Cosmos-5,Mk.I-4,3600.76
Cosmos-5,A-35,4071.58
Horizon-4,A-44,5045.97
Horizon-4,Mk.I-1,1866.7
Horizon-4,A-17,2022.29
Horizon-4,ER-95,3342.78
Pulse-2,ER-88,5630.89
Pulse-2,100-41,7423.57
Pulse-2,200-22,4058.15
Pulse-2,LR-92,6099.97
AeroVoyager 250,Max-94,3434.48
AeroVoyager 250,Max-18,3846.9
AeroVoyager 250,ER-77,7075.59
AeroVoyager 250,B-65,1128.91
JetStorm 350,200-96,7950.29
JetStorm 350,A-86,5687.12
JetStorm 350,ER-48,6882.54
JetStorm 350,Max-2,2527.43
Mach-2 Falcon,ER-16,6473.09
Mach-2 Falcon,ER-80,4223.98
Mach-2 Falcon,200-45,5635.07
Mach-2 Falcon,Neo-10,3904.14
AeroPulse 140,LR-38,2276.37
AeroPulse 140,ER-19,1466.02
AeroPulse 140,LR-44,5790.42
AeroPulse 140,Mk.I-99,2009.2
SkyRider-2,ER-7,3391.4
SkyRider-2,Max-11,1123.91
SkyRider-2,B-26,4849.96
SkyRider-2,200-59,2564.04
ThunderWave 6,A-40,1394.34
ThunderWave 6,100-95,715.45
ThunderWave 6,ER-35,5667.5
ThunderWave 6,LR-79,2919.18
Orion-X 1,A-47,1012.88
Orion-X 1,A-52,1340.68
Orion-X 1,200-67,3901.21
Orion-X 1,200-27,2888.5
Nebula-8,200-19,3853.3
Nebula-8,LR-32,5480.93
Nebula-8,200-97,3390.1
Nebula-8,Mk.I-38,7244.68
Cyclone-6,Mk.I-47,3225.24
Cyclone-6,Neo-30,4240.09
Cyclone-6,Neo-56,6929.46
Cyclone-6,100-69,2166.35
Zephyr-4,100-18,4161.53
Zephyr-4,Max-1,5664.18
Zephyr-4,Neo-70,4180.28
Zephyr-4,Mk.I-84,6274.14
Vortex-7,200-39,5755.75
Vortex-7,Max-4,7537.63
Vortex-7,Max-67,5549.67
Vortex-7,B-5,3069.42
Talon-1,ER-97,3605.29
Talon-1,200-14,7353.24
Talon-1,200-92,5789.46
Talon-1,ER-19,2633.2
Guardian-9,B-89,2592.59
Guardian-9,ER-60,5675.9
Guardian-9,LR-40,1856.88
Guardian-9,Neo-99,1970.71
Raptor-1,200-17,830.22
Raptor-1,LR-33,6195.7
Raptor-1,Max-9,7958.65
Raptor-1,100-95,7617.96
Strato-9,100-35,5410.26
Strato-9,ER-12,4972.59
Strato-9,Neo-77,2463.97
Strato-9,Neo-1,812.05
Eclipse-7,Neo-80,6007.01
Eclipse-7,LR-11,4113.07
Eclipse-7,100-44,3457.12
Eclipse-7,A-50,3425.37
Cosmos-6,200-63,2731.9
Cosmos-6,Max-32,2925.17
Cosmos-6,A-41,1467.1
Cosmos-6,Neo-79,1153.43
Horizon-9,Neo-46,4053.06
Horizon-9,200-8,795.96
Horizon-9,A-61,6342.72
Pulse-9,Mk.I-57,4358.86
Pulse-9,B-4,5347.16
Pulse-9,Mk.I-95,5439.92
Pulse-9,A-44,5396.02
AeroSparrow 120,Max-9,1665.76
